description,label,count_of_important_words,description_length,count_of_characters,average_length_of_words,number_of_punctuation,number_of_nouns,number_of_noun_phrases,number_of_verbs,number_of_adj,count_of_sentences,number_of_characters_in_largest_sentence,number_of_characters_in_smallest_sentence,number_of_nouns_in_largest_sentence,number_of_verbs_in_largest_sentence,number_of_adjectives_in_largest_sentence,count_of_stopwords,count_title_case_words,automated_readability_index,count_of_adverbs,lexical_density
"Aromas include tropical fruit, broom, brimstone and dried herb. The palate isn't overly expressive, offering unripened apple, citrus and dried sage alongside brisk acidity.",wine_taster,4,25,172,6.88,6,10,6,5,4,2,19,12,5,3,3,3,1,17.224800000000002,2,84.0
"This is ripe and fruity, a wine that is smooth while still structured. Firm tannins are filled out with juicy red berry fruits and freshened with acidity. It's  already drinkable, although it will certainly be better from 2016.",wine_taster,3,39,227,5.82051282051282,5,7,3,9,7,3,15,15,0,3,2,16,2,12.484615384615388,3,66.66666666666666
"Tart and snappy, the flavors of lime flesh and rind dominate. Some green pineapple pokes through, with crisp acidity underscoring the flavors. The wine was all stainless-steel fermented.",wine_taster,4,29,186,6.413793103448276,6,10,6,4,4,3,13,9,3,2,2,10,3,13.61229885057471,0,62.06896551724138
"Pineapple rind, lemon pith and orange blossom start off the aromas. The palate is a bit more opulent, with notes of honey-drizzled guava and mango giving way to a slightly astringent, semidry finish.",wine_taster,4,34,199,5.852941176470588,6,13,7,4,5,2,27,13,8,3,3,12,2,14.637352941176466,2,70.58823529411765
"Much like the regular bottling from 2012, this comes across as rather rough and tannic, with rustic, earthy, herbal characteristics. Nonetheless, if you think of it as a pleasantly unfussy country wine, it's a good companion to a hearty winter stew.",wine_taster,2,42,249,5.928571428571429,8,7,5,3,9,2,25,25,5,2,3,15,2,16.99357142857143,4,54.761904761904766
"Blackberry and raspberry aromas show a typical Navarran whiff of green herbs and, in this case, horseradish. In the mouth, this is fairly full bodied, with tomatoey acidity. Spicy, herbal flavors complement dark plum fruit, while the finish is fresh but grabby.",wine_taster,5,42,261,6.214285714285714,9,12,8,5,10,3,20,14,5,2,3,14,3,14.839285714285715,1,66.66666666666666
"Here's a bright, informal red that opens with aromas of candied berry, white pepper and savory herb that carry over to the palate. It's balanced with fresh acidity and soft tannins.",wine_taster,3,33,181,5.484848484848484,4,9,7,6,7,2,27,10,7,4,5,11,0,12.653636363636359,1,69.6969696969697
"This dry and restrained wine offers spice in profusion. Balanced with acidity and a firm texture, it's very much for food.",wine_taster,3,22,122,5.545454545454546,3,6,1,4,3,2,15,10,3,2,2,8,2,10.189090909090911,1,63.63636363636363
"Savory dried thyme notes accent sunnier flavors of preserved peach in this brisk, off-dry wine. It's fruity and fresh, with an elegant, sprightly footprint.",wine_taster,4,26,156,6.0,6,8,4,4,6,2,19,13,6,3,3,6,1,13.329999999999998,1,73.07692307692307
This has great depth of flavor with its fresh apple and pear fruits and touch of spice. It's off dry while balanced with acidity and a crisp texture. Drink now.,wine_taster,4,31,160,5.161290322580645,3,9,4,4,5,3,18,3,7,1,3,13,2,8.046344086021506,2,64.51612903225806
"Soft, supple plum envelopes an oaky structure in this Cabernet, supported by 15% Merlot. Coffee and chocolate complete the picture, finishing strong at the end, resulting in a value-priced wine of attractive flavor and immediate accessibility.",wine_taster,2,37,243,6.5675675675675675,8,12,9,5,6,2,27,18,8,3,4,12,4,18.75324324324324,0,62.16216216216216
"This is a dry wine, very spicy, with a tight, taut texture and strongly mineral character layered with citrus as well as pepper. It's a food wine with its almost crisp aftertaste.",wine_taster,3,33,179,5.424242424242424,5,10,5,3,5,2,27,11,7,2,3,13,1,12.368181818181817,5,69.6969696969697
"Slightly reduced, this wine offers a chalky, tannic backbone to an otherwise juicy explosion of rich black cherry, the whole accented throughout by firm oak and cigar box.",wine_taster,4,28,171,6.107142857142857,4,9,6,3,5,1,32,32,9,3,5,8,1,21.33464285714286,2,67.85714285714286
"This is dominated by oak and oak-driven aromas that include roasted coffee bean, espresso, coconut and vanilla that carry over to the palate, together with plum and chocolate. Astringent, drying tannins give it a rather abrupt finish.",wine_taster,6,38,234,6.157894736842105,7,13,4,7,4,2,34,11,11,5,3,14,1,17.073684210526316,2,68.42105263157895
"Building on 150 years and six generations of winemaking tradition, the winery trends toward a leaner style, with the classic California buttercream aroma cut by tart green apple. In this good everyday sipping wine, flavors that range from pear to barely ripe pineapple prove approachable but not distinctive.",wine_taster,3,48,308,6.416666666666667,5,13,6,6,10,2,31,22,9,3,4,15,2,20.792499999999997,2,64.58333333333334
"Zesty orange peels and apple notes abound in this sprightly, mineral-toned Riesling. Off dry on the palate, yet racy and lean, it's a refreshing, easy quaffer with wide appeal.",wine_taster,3,31,176,5.67741935483871,7,8,6,2,9,2,22,16,3,2,5,9,3,13.060645161290324,1,64.51612903225806
"Baked plum, molasses, balsamic vinegar and cheesy oak aromas feed into a palate that's braced by a bolt of acidity. A compact set of saucy red-berry and plum flavors features tobacco and peppery accents, while the finish is mildly green in flavor, with respectable weight and balance.",wine_taster,7,49,284,5.795918367346939,7,20,10,6,7,2,32,24,12,2,4,16,1,18.11877551020408,1,69.38775510204081
